"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"30",14285,12478.6302216959,16091.3697783041,11522.3958228258,17047.6041771742
"31",14285,11730.4073608614,16839.5926391386,10378.0877051716,18191.9122948284
"32",14285,11156.2757667203,17413.7242332797,9500.0292039322,19069.9707960678
"33",14285,10672.2604433917,17897.7395566083,8759.79164565152,19810.2083543485
"34",14285,10245.8343832107,18324.1656167893,8107.62926491352,20462.3707350865
"35",14285,9860.3157563705,18709.6842436295,7518.02940464173,21051.9705953583
"36",14285,9505.79479078438,19064.2052092156,6975.83637628874,21594.1636237113
"37",14285,9175.81472172283,19394.1852782772,6471.17541034325,22098.8245896568
"38",14285,8865.8906650876,19704.1093349124,5997.18746847728,22572.8125315227
"39",14285,8572.75720406553,19997.2427959345,5548.87852663405,23021.121473366
"40",14285,8293.94921272772,20276.0507872723,5122.47850004453,23447.5214999555
"41",14285,8027.55153344062,20542.4484665594,4715.0584078644,23854.9415921356
"42",14285,7772.04114187593,20797.9588581241,4324.28898538727,24245.7110146127
"43",14285,7526.18317576313,21043.8168242369,3948.28167374345,24621.7183262565
"44",14285,7288.95993153571,21281.0400684643,3585.48002964112,24984.5199703589
"45",14285,7059.52088678347,21510.4791132165,3234.58329130303,25335.416708697
"46",14285,6837.1466051285,21732.8533948715,2894.49117573804,25675.508824262
"47",14285,6621.22208258424,21948.7779174158,2564.26311551487,26005.7368844851
"48",14285,6411.21668170631,22158.7833182937,2243.08757069415,26326.9124293059
"49",14285,6206.66876642147,22363.3312335785,1930.25852982705,26639.741470173
"50",14285,6007.17375784071,22562.8262421593,1625.15724289784,26944.8427571022
"51",14285,5812.37472377354,22757.6252762265,1327.2378292279,27242.7621707721
