"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"30",82163.9089285545,77864.2453036426,86463.5725534665,75588.1408697148,88739.6769873943
"31",80282.7678571091,74202.1252451164,86363.4104691018,70983.2274852781,89582.3082289401
"32",78401.6267856636,70954.3909318604,85848.8626394668,67012.0624089645,89791.1911623627
"33",76520.4857142181,67921.1584643943,85119.812964042,63368.9495965386,89672.0218318977
"34",74639.3446427727,65025.0044970865,84253.6847884589,59935.4802589351,89343.2090266102
"35",72758.2035713272,62226.2216246875,83290.1855179669,56650.9271602779,88865.4799823765
"36",70877.0624998818,59501.2218271343,82252.9031726292,53479.2155369498,88274.9094628137
"37",68995.9214284363,56834.6362044509,81157.2066524217,50396.8406847743,87595.0021720983
"38",67114.7803569908,54215.7894822551,80013.7712317266,47387.4761804715,86842.0845335101
"39",65233.6392855453,51636.9090582478,78830.3695128429,44439.2348546275,86028.0437164632
"40",63352.4982140999,49092.1272455277,77612.8691826721,41543.1428545247,85161.8535736751
"41",61471.3571426544,46576.885435048,76365.8288502608,38692.2283892563,84250.4858960525
"42",59590.216071209,44087.5584043417,75092.8737380762,35880.9471595038,83299.4849829141
"43",57709.0749997635,41621.2068369686,73796.9431625584,33104.8038686935,82313.3461308335
"44",55827.933928318,39175.4083147404,72480.4595418957,30360.0937479089,81295.7741087272
"45",53946.7928568726,36748.1383572249,71145.4473565202,27643.7206215135,80249.8650922317
"46",52065.6517854271,34337.6845052891,69793.6190655651,24953.0655092679,79178.2380615863
"47",50184.5107139816,31942.5828780035,68426.4385499597,22285.8895984886,78083.1318294747
"48",48303.3696425362,29561.5704103273,67045.168874745,19640.261197891,76966.4780871814
"49",46422.2285710907,27193.5482797183,65650.9088624631,17014.4998034156,75829.9573387658
"50",44541.0874996452,24837.5534756381,64244.6215236523,14407.1326175391,74675.0423817513
"51",42659.9464281998,22492.7363999734,62827.1564564262,11816.8602920742,73503.0325643254
