"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"33",94684.8497101232,82094.3762681042,107275.323152142,75429.3822298281,113940.317190418
"34",96578.4205316046,82407.7667988877,110749.074264322,74906.2758436844,118250.565219525
"35",98471.991353086,82880.4926139993,114063.490092173,74626.8517463738,122317.130959798
"36",100365.562174567,83472.302020017,117258.822329118,74529.5502850934,126201.574064042
"37",102259.132996049,84157.4854365669,120360.780555531,74575.0520497272,129943.213942371
"38",104152.70381753,84918.4362181108,123386.97141695,74736.4299995917,133568.977635469
"39",106046.274639012,85742.4706652619,126350.078612761,74994.2860904278,137098.263187596
"40",107939.845460493,86620.092611953,129259.598309033,75334.0971895082,140545.593731478
"41",109833.416281974,87543.9733270415,132122.859236908,75744.6549697725,143922.177594177
"42",111726.987103456,88508.3163198044,134945.657887107,76217.0944636614,147236.87974325
"43",113620.557924937,89508.4431550137,137732.672694861,76744.2606219382,150496.855227936
"44",115514.128746419,90540.5129810485,140487.744511789,77320.2793689519,153707.978123886
"45",117407.6995679,91601.3265155953,143214.072620205,77940.2578246345,156875.141311166
"46",119301.270389382,92688.1853402351,145914.355438528,78600.0691141425,160002.471664621
"47",121194.841210863,93798.7885471765,148590.893874549,79296.1943026755,163093.48811905
"48",123088.412032344,94931.1552897237,151245.668774965,80025.6039466376,166151.220118051
"49",124981.982853826,96083.5657174455,153880.399990206,80785.6677617747,169178.297945877
"50",126875.553675307,97254.5152278352,156496.592122779,81574.0846571251,172177.022693489
"51",128769.124496789,98442.6785390936,159095.570454484,82388.8277890836,175149.421204494
"52",130662.69531827,99646.8811238405,161678.5095127,83228.100873032,178097.289763508
"53",132556.266139751,100866.076240324,164246.456039179,84090.303055607,181022.229223896
"54",134449.836961233,102099.326276235,166800.34764623,84974.0003825241,183925.673539942
