"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"30",41581.12,39544.9046652297,43617.3353347703,38466.9973784714,44695.2426215286
"31",41581.12,38701.4766576558,44460.7633423442,37177.0855537413,45985.1544462587
"32",41581.12,38054.291585027,45107.948414973,36187.3013985128,46974.9386014872
"33",41581.12,37508.6893304595,45653.5506695405,35352.8747569427,47809.3652430573
"34",41581.12,37028.0040946262,46134.2359053738,34617.7301279921,48544.5098720079
"35",41581.12,36593.4314233824,46568.8085766176,33953.1085807965,49209.1314192035
"36",41581.12,36193.8006084218,46968.4393915782,33341.9259912747,49820.3140087253
"37",41581.12,35821.8333153116,47340.4066846884,32773.0511074827,50389.1888925173
"38",41581.12,35472.4739956892,47689.7660043108,32238.7521354141,50923.4878645859
"39",41581.12,35142.0417355637,48020.1982644363,31733.399602915,51428.840397085
"40",41581.12,34827.7577421991,48334.4822578009,31252.7437132316,51909.4962867684
"41",41581.12,34527.4631700541,48634.7768299459,30793.4827970256,52368.7572029744
"42",41581.12,34239.4412025998,48922.7987974003,30352.9912099962,52809.2487900038
"43",41581.12,33962.2998515945,49199.9401484055,29929.1400898375,53233.0999101625
"44",41581.12,33694.8919191426,49467.3480808574,29520.1749487718,53642.0650512282
"45",41581.12,33436.258660919,49725.9813390811,29124.6295138854,54037.6104861146
"46",41581.12,33185.5890982398,49976.6509017602,28741.2635003121,54420.9764996879
"47",41581.12,32942.1899729675,50220.0500270325,28369.016661224,54793.223338776
"48",41581.12,32705.4631284486,50456.7768715514,28006.9741949627,55155.2658050373
"49",41581.12,32474.8881892524,50687.3518107476,27654.3402559842,55507.8997440158
"50",41581.12,32250.0090971854,50912.2309028146,27310.4173634707,55851.8226365293
"51",41581.12,32030.4235033994,51131.8164966006,26974.5901779594,56187.6498220406
