"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"30",7716.6971639611,7454.27311865274,7979.12120926946,7315.35422052431,8118.04010739788
"31",7650.2143279222,7216.59075020724,8083.83790563715,6987.04429402071,8313.38436182368
"32",7583.73149188329,6974.47555702041,8192.98742674618,6651.95494710486,8515.50803666173
"33",7517.24865584439,6722.22648509396,8312.27082659482,6301.36717009276,8733.13014159602
"34",7450.76581980549,6458.62898852149,8442.90265108949,5933.42347531232,8968.10816429866
"35",7384.28298376659,6183.56560421178,8585.0003633214,5547.94421846792,9220.62174906525
"36",7317.80014772769,5897.2635716088,8738.33672384658,5145.27693229881,9490.32336315656
"37",7251.31731168878,5600.06172306757,8902.57290031,4725.93981617401,9776.69480720356
"38",7184.83447564988,5292.32595478892,9077.34299651084,4290.4924600429,10079.1764912569
"39",7118.35163961098,4974.41639730306,9262.2868819189,3839.48563602259,10397.2176431994
"40",7051.86880357208,4646.67479988521,9457.06280725894,3373.4420045266,10730.2956026176
"41",6985.38596753318,4309.42037930188,9661.35155576448,2892.84976547011,11077.9221695962
"42",6918.90313149427,3962.94931983329,9874.85694315526,2398.16189362031,11439.6443693682
"43",6852.42029545537,3607.53582469543,10097.3047662153,1889.79774660761,11815.0428443031
"44",6785.93745941647,3243.43376619348,10328.4411526395,1368.14558861753,12203.7293302154
"45",6719.45462337757,2870.87849553308,10568.0307512221,833.565358258261,12605.3438884969
"46",6652.97178733867,2490.08861267361,10815.8549620037,286.391375317535,13019.5521993598
"47",6586.48895129977,2101.26761114651,11071.710291453,-273.065143704703,13446.0430463042
"48",6520.00611526086,1704.60536807819,11335.4068624435,-844.513806802962,13884.5260373247
"49",6453.52327922196,1300.27947607274,11606.7670823712,-1427.6830095274,14334.7295679713
"50",6387.04044318306,888.456425662336,11885.6244607038,-2022.31812658189,14796.399012948
"51",6320.55760714416,469.292651900251,12171.8225623881,-2628.17991119825,15269.2951254866
