"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"33",2.81026889797374,2.59121243332476,3.02932536262273,2.47525094564482,3.14528685030267
"34",2.84852566160753,2.5870235074866,3.11002781572846,2.44859262907375,3.24845869414131
"35",2.90254085880501,2.59099070705272,3.2140910105573,2.42606601906418,3.37901569854584
"36",2.95107179728717,2.60078417168787,3.30135942288648,2.41535310374171,3.48679049083263
"37",3.00151137050355,2.61501590384484,3.38800683716227,2.4104175626495,3.59260517835761
"38",3.05128669961006,2.63213041054003,3.47044298868009,2.41024247434581,3.69233092487431
"39",3.101293199317,2.65170264582754,3.55088375280646,2.41370378323735,3.78888261539664
"40",3.15121924690444,2.67317395092221,3.62926454288666,2.42011205754542,3.88232643626345
"41",3.20117329348275,2.69625917793821,3.70608740902729,2.42897379066161,3.97337279630389
"42",3.25111759583686,2.72069899603328,3.78153619564043,2.43991235033947,4.06232284133424
"43",3.30106528938123,2.74631185443317,3.85581872432929,2.45264312516185,4.14948745360061
"44",3.3510118027217,2.77294761048021,3.9290759949632,2.46693891169909,4.23508469374432
"45",3.40095872679739,2.80048785167595,4.00142960191883,2.48261777147021,4.31929968212456
"46",3.45090550792878,2.82883456730551,4.07297644855205,2.49953010312215,4.40228091273541
"47",3.50085233880772,2.85790656684219,4.14379811077326,2.51755163445468,4.48415304316077
"48",3.5507991523735,2.88763532138215,4.21396298336484,2.53657759505341,4.56502070969358
"49",3.60074597196461,2.91796249890825,4.28352944502097,2.5565187614419,4.64497318248731
"50",3.65069278945878,2.94883790825094,4.35254767066661,2.57729837715012,4.72408720176744
"51",3.70063960768272,2.98021801037255,4.4210612049929,2.59884985346965,4.8024293618958
"52",3.75058642565269,3.01206473922253,4.48910811208286,2.62111497392083,4.88005787738456
"53",3.80053324371105,3.04434458680543,4.55672190061668,2.64404249226562,4.95702399515648
"54",3.85048006173865,3.07702787296356,4.62393225051374,2.66758701668303,5.03337310679428
