"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"30",5385.36188677554,4981.24594746623,5789.47782608485,4767.31989149442,6003.40388205666
"31",5195.72377355108,4557.82988046875,5833.6176666334,4220.14925121955,6171.29829588261
"32",5006.08566032662,4141.9118919662,5870.25942868703,3684.44593243092,6327.72538822232
"33",4816.44754710216,3721.47162758885,5911.42346661547,3141.82638952688,6491.06870467744
"34",4626.8094338777,3292.85440141009,5960.7644663453,2586.70126271611,6666.91760503929
"35",4437.17132065324,2854.70896168359,6019.63367962288,2017.00399078636,6857.33865052011
"36",4247.53320742878,2406.54840203712,6088.51801282044,1431.98991470158,7063.07650015597
"37",4057.89509420432,1948.26257652123,6167.5276118874,831.490580768836,7284.29960763979
"38",3868.25698097986,1479.9187389917,6256.59522296801,215.608844884557,7520.90511707515
"39",3678.61886775539,1001.67001285487,6355.56772265592,-415.421110909958,7772.65884642075
"40",3488.98075453093,513.710057075843,6464.25145198603,-1061.30311078607,8039.26461984794
"41",3299.34264130647,16.2494755667731,6582.43580704617,-1721.71506385495,8320.4003464679
"42",3109.70452808201,-490.496817643989,6709.90587380801,-2396.32828747388,8615.7373436379
"43",2920.06641485755,-1006.31642820491,6846.44925792002,-3084.81795251329,8924.9507822284
"44",2730.42830163309,-1531.00311974978,6991.85972301596,-3786.86864766947,9247.72525093565
"45",2540.79018840863,-2064.35865163636,7145.93902845362,-4502.17719004327,9583.75756686053
"46",2351.15207518417,-2606.1935847824,7308.49773515075,-5230.45385755993,9932.75800792827
"47",2161.51396195971,-3156.32749318475,7479.35541710417,-5971.42271245964,10294.4506363791
"48",1971.87584873525,-3714.58883598732,7658.34053345782,-6724.82140564242,10668.5731031129
"49",1782.23773551079,-4280.8146410286,7845.29011205018,-7490.4006926958,11054.8761637174
"50",1592.59962228633,-4854.85009018763,8040.04933476029,-8267.92379973613,11453.1230443088
"51",1402.96150906187,-5436.54806077555,8242.47107889928,-9057.16572202756,11863.0887401513
