"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"10",33260.8750000033,32761.8925785368,33759.8574214698,32497.747240429,34024.0027595776
"11",34147.7500000066,33442.0822921829,34853.4177078303,33068.5243725933,35226.9756274199
"12",35034.6250000099,34170.3620939462,35898.8879060737,33712.8489477611,36356.4010522587
"13",35921.5000000132,34923.5351570802,36919.4648429462,34395.2444808646,37447.7555191618
"14",36808.3750000165,35692.6163860399,37924.1336139931,35101.9694540913,38514.7805459417
"15",37695.2500000198,36472.9976768085,38917.5023232311,35825.9763805095,39564.5236195301
"16",38582.1250000231,37261.9416042299,39902.3083958163,36563.0787296197,40601.1712704265
"17",39469.0000000264,38057.664584379,40880.3354156738,37310.5487451997,41627.4512548531
"18",40355.8750000297,38858.9277356302,41852.8222644292,38066.4917213069,42645.2582787525
"19",41242.750000033,39664.8290358127,42820.6709642533,38829.5281340769,43655.9718659891
"20",42129.6250000363,40474.6875310489,43784.5624690237,39598.6165544239,44660.6334456487
"21",43016.5000000396,41287.9741879121,44745.0258121671,40372.9478955419,45660.0521045373
"22",43903.3750000429,42104.2682938902,45702.4817061956,41151.8787331679,46654.8712669179
"23",44790.2500000462,42923.2287368957,46657.2712631967,41934.8873813829,47645.6126187095
"24",45677.1250000495,43744.5743916594,47609.6756084396,42721.5438961898,48632.7061039092
"25",46564.0000000528,44568.0703141867,48559.9296859189,43511.4889617557,49616.5110383499
"26",47450.8750000561,45393.5177710232,49508.232229089,44304.4186414904,50597.3313586218
"27",48337.7500000594,46220.7468765883,50454.7531235305,45100.0731178194,51575.4268822994
"28",49224.6250000627,47049.6110502869,51399.6389498385,45898.2282150678,52551.0217850576
"29",50111.500000066,47879.9827721129,52343.0172280192,46698.6889082156,53524.3110919164
"30",50998.3750000693,48711.7502832466,53284.999716892,47501.2842768981,54495.4657232405
"31",51885.2500000726,49544.8149865512,54225.685013594,48305.8635298067,55464.6364703385
