"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"33",101151.838969166,93967.6343914639,108336.043546868,90164.5462152611,112139.13172307
"34",102507.641123898,91344.7531258163,113670.529121981,85435.4771720735,119579.805075723
"35",102507.641123898,84260.5175327192,120754.764715078,74601.073786544,130414.208461253
"36",102507.641123898,79241.6795008361,125773.602746961,66925.4233865145,138089.858861282
"37",102507.641123898,75127.8598767838,129887.422371013,60633.8791999095,144381.403047887
"38",102507.641123898,71556.0681100128,133459.214137784,55171.2950859625,149843.987161834
"39",102507.641123898,68355.8136043068,136659.46864349,50276.9281785488,154738.354069248
"40",102507.641123898,65430.7645857921,139584.517662005,45803.4517430791,159211.830504718
"41",102507.641123898,62720.1779638021,142295.104283995,41657.9672390523,163357.315008745
"42",102507.641123898,60182.8295400288,144832.452707768,37777.4276957903,167237.854552007
"43",102507.641123898,57789.2206855141,147226.061562283,34116.7188534338,170898.563394363
"44",102507.641123898,55517.380671352,149497.901576445,30642.2393817455,174373.042866051
"45",102507.641123898,53350.423665094,151664.858582703,27328.1646285321,177687.117619265
"46",102507.641123898,51275.0394020823,153740.242845714,24154.1383006446,180861.143947152
"47",102507.641123898,49280.5152379343,155734.767009863,21103.776822319,183911.505425478
"48",102507.641123898,47358.0773815231,157657.204866274,18163.6618379633,186851.620409834
"49",102507.641123898,45500.4325282449,159514.849719552,15322.6392007318,189692.643047065
"50",102507.641123898,43701.4400668466,161313.84218095,12571.3176561312,192443.964591666
"51",102507.641123898,41955.8720856908,163059.410162106,9901.701803274,195113.580444523
"52",102507.641123898,40259.2340394558,164756.048208341,7306.91782826649,197708.36441953
"53",102507.641123898,38607.6283269942,166407.653920803,4781.00486454598,200234.277383251
"54",102507.641123898,36997.6488605912,168017.633387206,2318.75375047719,202696.52849732
