Year,Production,Per capita consumption (kg/yr)
2002,459.00,1.85
2003,480.20,1.99
2004,636.39,2.06
2005,1111.55,2.22
2006,1179.92,2.70
2007,1363.58,3.05
2008,1565.78,3.21
2009,1879.48,3.24
2010,2481.48,3.16
2011,1865.96,3.10
2012,2050.15,3.09
2013,2122.29,3.08
2014,1887.96,3.02
2015,1898.60,2.98
2016,1848.45,2.83
2017,1562.28,2.88
2018,1698.57,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
