Year,Production,Per capita consumption (kg/yr)
2002,164.00,1.85
2003,197.20,1.99
2004,697.20,2.06
2005,782.43,2.22
2006,853.30,2.70
2007,806.68,3.05
2008,957.83,3.21
2009,946.16,3.24
2010,434.57,3.16
2011,609.05,3.10
2012,1005.75,3.09
2013,1125.43,3.08
2014,900.36,3.02
2015,1346.17,2.98
2016,1496.40,2.83
2017,1948.64,2.88
2018,1920.50,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
