Year,Production,Per capita consumption (kg/yr)
2002,18.00,1.85
2003,11.50,1.99
2004,8.20,2.06
2005,4.13,2.22
2006,6.76,2.70
2007,10.55,3.05
2008,9.41,3.21
2009,59.10,3.24
2010,45.63,3.16
2011,44.44,3.10
2012,45.84,3.09
2013,23.68,3.08
2014,21.88,3.02
2015,14.89,2.98
2016,522.62,2.83
2017,663.96,2.88
2018,805.38,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
