Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,91.00,35.90,0.71
1991,87.00,35.40,0.57
1992,84.00,34.26,0.58
1993,84.00,34.27,0.46
1994,80.00,34.36,0.64
1995,50.00,19.31,0.74
1996,50.00,28.91,0.78
1997,50.00,36.51,0.76
1998,41.00,31.48,0.72
1999,41.00,33.04,0.93
2000,39.00,33.19,0.83
2001,39.00,33.14,0.88
2002,40.00,33.02,0.81
2003,38.00,32.22,0.82
2004,39.00,33.41,0.78
2005,39.00,33.25,0.67
2006,43.00,41.21,0.65
2007,42.00,40.90,0.70
2008,34.00,30.20,0.74
2009,38.00,40.00,0.63
2010,36.00,33.00,0.61
2011,36.00,32.00,0.60
2012,34.00,28.00,0.66
2013,37.00,37.00,0.67
2014,40.00,42.00,0.60
2015,39.50,38.50,0.63
2016,42.00,39.70,0.63
2017,47.00,45.40,0.68
2018,50.00,48.50,
