Year,Production,Per capita consumption (kg/yr)
2002,2326.00,1.85
2003,2159.80,1.99
2004,2199.22,2.06
2005,1998.58,2.22
2006,1911.83,2.70
2007,1947.29,3.05
2008,2065.26,3.21
2009,2005.49,3.24
2010,2061.18,3.16
2011,1908.03,3.10
2012,1953.70,3.09
2013,1929.79,3.08
2014,1980.12,3.02
2015,2099.81,2.98
2016,2439.24,2.83
2017,1726.36,2.88
2018,1785.52,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
