Year,Area harvested,Production,Per capita consumption (kg/yr)
1987,34530.00,66499.00,
1988,34780.00,69934.00,
1989,39190.00,79102.00,
1990,33530.00,71750.00,92.53
1991,44820.00,102374.00,83.71
1992,46200.00,89608.00,87.13
1993,42460.00,88459.00,88.52
1994,86890.00,204440.00,86.49
1995,71868.00,149679.00,92.55
1996,59300.00,139565.00,98.73
1997,66300.00,142200.00,97.05
1998,55247.00,98257.00,91.91
1999,65933.00,158597.00,99.68
2000,77729.00,198325.00,103.16
2001,80732.00,203774.00,103.77
2002,80339.00,210568.00,108.03
2003,79950.00,216214.00,107.02
2004,80430.00,236785.00,116.09
2005,72499.00,207528.00,118.80
2006,76559.00,228095.00,118.70
2007,80417.00,243883.00,126.26
2008,74067.00,205092.00,128.10
2009,81333.00,244175.00,121.51
2010,70548.00,204807.00,113.82
2011,69973.00,238488.00,116.46
2012,74762.00,267663.00,118.87
2013,75544.00,256394.00,115.63
2014,78204.00,274150.00,114.35
2015,80507.00,280240.00,111.62
2016,81898.00,291681.00,107.83
2017,92713.00,341265.00,118.25
2018,95062.00,367032.00,
