Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,136717.00,643797.06,9.90
1991,136376.00,634555.92,6.46
1992,140663.00,648141.09,9.54
1993,146553.00,659136.04,9.52
1994,146111.00,667807.12,9.20
1995,145236.00,667946.34,9.24
1996,141006.00,654231.39,8.84
1997,141701.00,631405.20,8.34
1998,130387.00,554679.86,7.17
1999,132349.00,557386.29,7.05
2000,127682.00,554003.03,6.85
2001,124637.00,545408.61,6.56
2002,122487.00,549392.45,6.48
2003,122238.62,546970.72,6.32
2004,120531.06,545146.75,6.17
2005,120638.44,574629.16,6.37
2006,118829.09,566772.65,6.16
2007,117583.77,573734.18,6.13
2008,116464.71,572654.83,5.99
2009,114380.31,560516.36,5.83
2010,109438.36,541265.03,5.50
2011,103704.42,516338.02,5.15
2012,101086.58,516907.18,5.07
2013,94844.05,528249.52,5.09
2014,88968.37,519854.97,4.93
2015,85842.52,535995.53,5.00
2016,84751.58,529472.03,4.86
2017,84973.58,537303.36,4.85
2018,84045.05,525634.39,
