Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,1588.00,20355.00,9.90
1991,2258.00,26518.00,6.46
1992,2405.00,26522.32,9.54
1993,2200.00,22552.43,9.52
1994,2338.00,25874.41,9.20
1995,2110.00,24709.00,9.24
1996,1800.00,21600.00,8.84
1997,1190.00,10742.13,8.34
1998,1105.00,9735.46,7.17
1999,1077.00,9374.02,7.05
2000,1067.00,9341.72,6.85
2001,1021.00,8979.39,6.56
2002,994.00,8545.56,6.48
2003,956.00,8072.75,6.32
2004,930.00,7738.67,6.17
2005,928.00,7407.08,6.37
2006,876.00,6927.68,6.16
2007,868.00,6699.17,6.13
2008,870.00,6806.39,5.99
2009,871.00,6798.35,5.83
2010,791.70,6422.79,5.50
2011,792.00,6005.25,5.15
2012,769.00,5644.98,5.07
2013,759.00,5552.20,5.09
2014,763.00,5669.78,4.93
2015,761.00,5570.53,5.00
2016,748.00,5453.87,4.86
2017,719.00,5200.50,4.85
2018,670.00,4847.20,
