Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,4150.00,36282.56,9.70
1991,4182.00,34322.20,6.06
1992,4179.00,35565.99,8.97
1993,4140.00,35566.59,8.90
1994,4142.00,35770.81,8.60
1995,4140.00,35516.42,9.34
1996,4138.00,25579.24,8.50
1997,4502.00,31037.31,9.56
1998,4635.00,23501.31,8.73
1999,4766.00,22606.51,7.74
2000,4650.00,17089.35,8.48
2001,4619.00,29283.05,8.36
2002,6890.00,23830.40,8.76
2003,6959.00,23241.73,8.72
2004,8600.00,34224.77,8.58
2005,8600.00,34274.50,8.68
2006,9470.00,41773.00,8.59
2007,9470.00,44964.44,8.38
2008,9470.00,45986.43,8.46
2009,9500.00,46369.23,8.60
2010,9500.00,49188.65,8.31
2011,9500.00,44556.17,8.00
2012,9500.00,53637.35,8.21
2013,9500.00,53259.02,7.80
2014,9500.00,54643.01,7.35
2015,9500.00,53393.30,7.24
2016,9500.00,40216.30,6.67
2017,9500.00,39316.07,6.69
2018,9500.00,48937.24,
