Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,222.00,1593.41,1.29
1991,220.00,1767.52,1.35
1992,221.00,1892.75,1.36
1993,225.00,1655.50,1.37
1994,234.00,1777.52,1.38
1995,215.00,1570.18,1.46
1996,218.00,1657.69,1.51
1997,219.00,1673.25,1.44
1998,212.00,1291.47,1.33
1999,221.00,1673.94,1.40
2000,223.00,1689.50,1.46
2001,226.00,1681.19,1.49
2002,223.00,1632.13,1.46
2003,231.00,1685.38,1.50
2004,241.00,1794.41,1.48
2005,248.00,1864.62,1.59
2006,266.00,1935.11,1.66
2007,273.00,1927.38,1.70
2008,254.00,1816.53,1.87
2009,283.00,1953.20,1.80
2010,292.00,2021.75,1.66
2011,312.00,2174.15,1.54
2012,299.00,2145.63,1.58
2013,322.00,2156.88,1.54
2014,341.00,2161.00,1.58
2015,341.00,2160.20,1.58
2016,345.00,2315.36,1.46
2017,346.00,2573.18,1.48
2018,346.00,2632.60,
