Year,Production,Per capita consumption (kg/yr)
2002,152985.60,1.85
2003,168204.86,1.99
2004,177790.24,2.06
2005,195510.20,2.22
2006,241774.82,2.70
2007,278819.27,3.05
2008,299812.51,3.21
2009,304373.98,3.24
2010,303735.49,3.16
2011,303169.77,3.10
2012,307974.94,3.09
2013,317756.50,3.08
2014,313378.30,3.02
2015,311684.17,2.98
2016,300722.50,2.83
2017,310974.80,2.88
2018,321076.58,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
