Year,Production,Per capita consumption (kg/yr)
2002,279.00,1.85
2003,281.30,1.99
2004,251.03,2.06
2005,250.11,2.22
2006,300.93,2.70
2007,327.14,3.05
2008,339.67,3.21
2009,358.07,3.24
2010,353.35,3.16
2011,372.66,3.10
2012,376.76,3.09
2013,390.21,3.08
2014,407.36,3.02
2015,414.56,2.98
2016,359.17,2.83
2017,382.69,2.88
2018,367.01,
