Year,Production,Per capita consumption (kg/yr)
2000,,3.03
2001,,3.04
2002,,3.19
2003,,3.28
2004,,3.21
2005,,3.23
2006,,3.35
2007,,3.50
2008,,3.51
2009,,3.49
2010,1570.00,3.85
2011,1832.00,3.80
2012,2135.00,3.56
2013,2179.00,3.73
2014,2698.00,4.23
2015,2943.00,4.33
2016,3415.00,4.50
2017,3703.00,4.78
2018,4580.00,
,,
,,
,,
,,
,,
,,
,,
,,
,,
