Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,10.00,2.25,1.81
1991,10.00,2.26,1.86
1992,10.00,2.35,1.87
1993,27.01,7.07,1.67
1994,27.00,7.14,1.59
1995,27.00,7.17,1.58
1996,27.00,7.19,1.57
1997,27.00,7.19,1.55
1998,24.00,6.45,1.35
1999,25.00,7.00,1.36
2000,24.00,6.81,1.27
2001,23.00,6.81,1.34
2002,26.00,8.36,3.25
2003,26.00,20.53,3.18
2004,27.00,25.32,3.04
2005,30.00,28.38,2.94
2006,31.00,29.10,2.73
2007,30.50,30.95,2.69
2008,35.00,38.17,2.57
2009,40.00,48.40,2.50
2010,44.00,63.19,2.42
2011,44.00,75.73,2.17
2012,50.00,98.43,2.12
2013,51.00,161.11,2.09
2014,55.00,223.84,2.05
2015,57.00,274.29,1.97
2016,58.00,289.06,1.91
2017,59.50,310.08,1.81
2018,60.00,318.19,
