Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,60.00,213.47,1.29
1991,60.00,209.38,1.35
1992,60.00,223.89,1.36
1993,62.00,228.86,1.37
1994,63.00,231.15,1.38
1995,62.00,231.45,1.46
1996,62.00,231.45,1.51
1997,100.00,236.08,1.44
1998,90.00,232.50,1.33
1999,80.00,245.00,1.40
2000,95.00,241.00,1.46
2001,94.00,241.45,1.49
2002,95.00,317.30,1.46
2003,95.00,318.57,1.50
2004,102.00,321.23,1.48
2005,103.00,329.65,1.59
2006,103.00,333.10,1.66
2007,106.00,489.55,1.70
2008,109.00,567.54,1.87
2009,115.00,593.99,1.80
2010,123.00,643.14,1.66
2011,129.00,684.36,1.54
2012,134.00,722.96,1.58
2013,136.00,756.29,1.54
2014,136.00,790.22,1.58
2015,138.00,815.18,1.58
2016,138.00,819.26,1.46
2017,138.00,833.97,1.48
2018,138.00,855.04,
