Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,150.00,613.56,1.29
1991,150.00,594.25,1.35
1992,150.00,608.45,1.36
1993,153.00,582.32,1.37
1994,153.00,532.36,1.38
1995,153.00,555.24,1.46
1996,145.00,482.99,1.51
1997,139.00,570.44,1.44
1998,139.00,466.44,1.33
1999,140.00,367.48,1.40
2000,140.00,357.54,1.46
2001,143.00,364.63,1.49
2002,145.00,369.34,1.46
2003,147.50,376.62,1.50
2004,151.00,390.19,1.48
2005,153.00,398.95,1.59
2006,153.50,408.16,1.66
2007,155.00,469.97,1.70
2008,155.00,495.06,1.87
2009,156.00,513.48,1.80
2010,156.00,527.26,1.66
2011,160.00,542.46,1.54
2012,155.00,556.90,1.58
2013,155.00,586.46,1.54
2014,157.00,606.39,1.58
2015,157.00,597.82,1.58
2016,157.00,519.29,1.46
2017,157.00,530.43,1.48
2018,156.00,535.20,
