Year,Production,Per capita consumption (kg/yr)
2002,44.00,1.85
2003,38.00,1.99
2004,35.00,2.06
2005,89.45,2.22
2006,129.00,2.70
2007,223.13,3.05
2008,236.48,3.21
2009,191.13,3.24
2010,257.41,3.16
2011,238.96,3.10
2012,242.90,3.09
2013,241.32,3.08
2014,245.85,3.02
2015,246.91,2.98
2016,242.05,2.83
2017,235.61,2.88
2018,160.91,
,,
,,
,,
,,
,,
,,
,,
,,
