Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,637.00,6595.00,9.90
1991,687.00,7133.66,6.46
1992,684.00,7133.86,9.54
1993,900.00,10287.83,9.52
1994,900.00,9296.60,9.20
1995,900.00,11552.34,9.24
1996,1000.00,11552.34,8.84
1997,900.00,11979.45,8.34
1998,495.00,8431.00,7.17
1999,518.00,9250.53,7.05
2000,519.00,9207.30,6.85
2001,520.00,9472.18,6.56
2002,518.00,9438.26,6.48
2003,516.00,9300.17,6.32
2004,527.00,9392.87,6.17
2005,526.00,9820.00,6.37
2006,567.00,10660.00,6.16
2007,570.00,10842.00,6.13
2008,577.00,10935.00,5.99
2009,582.00,11045.00,5.83
2010,578.00,11030.00,5.50
2011,605.00,12020.00,5.15
2012,620.00,12240.00,5.07
2013,620.00,12074.00,5.09
2014,627.00,12380.00,4.93
2015,616.00,12300.00,5.00
2016,621.00,12320.00,4.86
2017,672.00,12872.00,4.85
2018,697.00,13373.00,
