Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,39.00,31.40,0.71
1991,39.00,36.60,0.57
1992,40.00,38.93,0.58
1993,27.00,24.90,0.46
1994,26.00,23.20,0.64
1995,20.00,16.58,0.74
1996,35.00,53.99,0.78
1997,27.00,52.06,0.76
1998,22.00,30.49,0.72
1999,36.00,31.43,0.93
2000,27.00,24.10,0.83
2001,26.00,22.60,0.88
2002,22.00,17.70,0.81
2003,24.00,19.32,0.82
2004,25.00,20.27,0.78
2005,30.00,24.60,0.67
2006,25.00,21.30,0.65
2007,25.00,22.45,0.70
2008,37.00,34.55,0.74
2009,43.50,39.28,0.63
2010,34.00,29.97,0.61
2011,35.00,33.33,0.60
2012,46.50,49.48,0.66
2013,67.25,70.60,0.67
2014,72.50,74.88,0.60
2015,69.00,70.07,0.63
2016,59.25,57.85,0.63
2017,68.00,61.37,0.68
2018,64.50,58.27,
