Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,67.00,154.08,1.29
1991,67.00,149.16,1.35
1992,56.00,141.98,1.36
1993,53.00,132.51,1.37
1994,40.00,114.62,1.38
1995,48.00,114.90,1.46
1996,48.00,134.07,1.51
1997,48.00,161.09,1.44
1998,48.00,213.43,1.33
1999,48.00,229.45,1.40
2000,48.00,232.26,1.46
2001,44.00,197.64,1.49
2002,44.00,197.84,1.46
2003,44.00,197.50,1.50
2004,43.00,194.79,1.48
2005,46.00,262.82,1.59
2006,66.00,500.86,1.66
2007,60.00,729.00,1.70
2008,123.00,2306.00,1.87
2009,95.00,2972.00,1.80
2010,164.00,3012.00,1.66
2011,164.00,5136.00,1.54
2012,158.00,4640.00,1.58
2013,157.00,4375.00,1.54
2014,157.00,4253.00,1.58
2015,156.00,4176.50,1.58
2016,161.00,4828.30,1.46
2017,165.00,5038.20,1.48
2018,161.00,4925.37,
