Year,Area harvested,Production,Per capita consumption (kg/yr)
1987,53960.00,175271.00,
1988,52830.00,185267.00,
1989,76450.00,264547.00,
1990,71490.00,251632.00,92.53
1991,86300.00,264035.00,83.71
1992,77510.00,228921.00,87.13
1993,80130.00,277569.00,88.52
1994,79140.00,294744.00,86.49
1995,72132.00,278992.00,92.55
1996,67584.00,229758.00,98.73
1997,58874.00,198973.00,97.05
1998,59749.00,211166.00,91.91
1999,68864.00,254571.00,99.68
2000,70510.00,255820.00,103.16
2001,67289.00,240690.00,103.77
2002,66397.00,252983.00,108.03
2003,61692.00,227957.00,107.02
2004,60339.00,216842.00,116.09
2005,61303.00,228871.00,118.80
2006,62696.00,239529.00,118.70
2007,67398.00,266598.00,126.26
2008,72934.00,297296.00,128.10
2009,81708.00,330541.00,121.51
2010,80561.00,336512.00,113.82
2011,87435.00,353487.00,116.46
2012,88975.00,373221.00,118.87
2013,92574.00,400491.00,115.63
2014,94175.00,426641.00,114.35
2015,96661.00,436575.00,111.62
2016,94028.00,425116.00,107.83
2017,98102.00,457102.00,118.25
2018,98499.00,470173.68,
