Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,630.00,2750.40,9.90
1991,663.00,2810.20,6.46
1992,657.00,2863.31,9.54
1993,661.00,2885.83,9.52
1994,660.00,2897.39,9.20
1995,661.00,2900.79,9.24
1996,790.00,3451.88,8.84
1997,750.00,3489.08,8.34
1998,720.00,3104.94,7.17
1999,725.00,3160.06,7.05
2000,723.00,3152.56,6.85
2001,715.00,3149.25,6.56
2002,718.00,3156.30,6.48
2003,721.00,3161.88,6.32
2004,722.00,3191.21,6.17
2005,724.00,3221.93,6.37
2006,730.00,3237.27,6.16
2007,730.00,3180.70,6.13
2008,738.00,3221.52,5.99
2009,741.00,3244.25,5.83
2010,745.00,3257.18,5.50
2011,753.00,3336.65,5.15
2012,758.00,3393.38,5.07
2013,758.00,3733.68,5.09
2014,762.00,3932.01,4.93
2015,765.00,4022.13,5.00
2016,765.00,3999.20,4.86
2017,765.00,4323.55,4.85
2018,765.50,4349.85,
