Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,27.00,6.25,0.71
1991,29.00,6.75,0.57
1992,29.00,6.61,0.58
1993,29.00,6.78,0.46
1994,30.24,6.84,0.64
1995,30.00,6.90,0.74
1996,30.00,6.95,0.78
1997,30.00,7.04,0.76
1998,26.00,6.22,0.72
1999,27.00,6.40,0.93
2000,26.00,6.53,0.83
2001,25.00,6.53,0.88
2002,26.00,6.69,0.81
2003,26.00,7.78,0.82
2004,27.00,8.20,0.78
2005,29.00,8.86,0.67
2006,30.00,9.31,0.65
2007,32.00,9.72,0.70
2008,35.50,21.70,0.74
2009,38.00,24.00,0.63
2010,35.00,27.47,0.61
2011,37.00,29.55,0.60
2012,38.00,31.93,0.66
2013,38.25,33.43,0.67
2014,38.50,37.34,0.60
2015,40.00,38.15,0.63
2016,40.00,37.87,0.63
2017,39.50,38.47,0.68
2018,39.50,38.01,
