Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,2035.00,13259.04,9.90
1991,2087.00,14043.01,6.46
1992,2110.00,14106.19,9.54
1993,1985.00,12765.14,9.52
1994,2044.00,13839.72,9.20
1995,2030.00,13542.51,9.24
1996,1980.00,13292.31,8.84
1997,2027.00,13590.41,8.34
1998,1787.00,11740.16,7.17
1999,1884.00,12653.66,7.05
2000,1859.00,12325.84,6.85
2001,1803.00,11918.22,6.56
2002,1833.00,12050.22,6.48
2003,1823.00,11925.41,6.32
2004,1836.00,12131.77,6.17
2005,1930.00,13895.46,6.37
2006,2015.00,14302.64,6.16
2007,2150.00,15347.42,6.13
2008,2052.00,14372.99,5.99
2009,2190.00,15216.45,5.83
2010,2150.00,14927.00,5.50
2011,2205.00,15397.00,5.15
2012,2252.00,15495.00,5.07
2013,2189.00,15149.00,5.09
2014,2192.00,15130.00,4.93
2015,2353.00,16090.00,5.00
2016,2131.00,15441.00,4.86
2017,2221.00,16120.00,4.85
2018,2221.00,15021.00,
