Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,3111978.00,11941960.00,9.70
1991,3093262.00,11292500.00,6.06
1992,3075025.00,11580400.00,8.97
1993,3076238.00,11669480.00,8.90
1994,3082727.25,11837160.00,8.60
1995,3094504.47,12790840.00,9.34
1996,3149037.00,11936720.00,8.50
1997,3134417.01,13707836.64,9.56
1998,3115829.00,12806428.95,8.73
1999,3137881.00,11589010.09,7.74
2000,3143909.00,12994653.92,8.48
2001,3148651.00,13146051.95,8.36
2002,3181670.00,14068495.16,8.76
2003,3216528.00,14294203.46,8.72
2004,3258576.00,14366183.76,8.58
2005,3243278.00,14824584.65,8.68
2006,3337378.00,14957909.91,8.59
2007,3359776.50,14852926.80,8.38
2008,3379740.90,15319526.75,8.46
2009,3401499.73,15667564.85,8.60
2010,3575944.47,15510282.61,8.31
2011,3561981.11,15244609.30,8.00
2012,3574613.61,15863800.92,8.21
2013,3551298.83,15354334.19,7.80
2014,3502011.47,14696298.35,7.35
2015,3517742.85,14735188.98,7.24
2016,3565059.37,13825080.08,6.67
2017,3612304.29,14049131.06,6.69
2018,3628134.38,14726165.43,
