Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,4.00,1.49,0.71
1991,3.00,1.08,0.57
1992,3.00,1.38,0.58
1993,3.00,1.39,0.46
1994,3.00,1.39,0.64
1995,3.00,1.35,0.74
1996,3.00,1.35,0.78
1997,3.00,1.35,0.76
1998,3.00,1.28,0.72
1999,3.00,1.23,0.93
2000,4.00,1.61,0.83
2001,4.00,1.64,0.88
2002,5.00,1.66,0.81
2003,5.00,1.70,0.82
2004,5.00,1.76,0.78
2005,5.13,2.05,0.67
2006,5.00,2.15,0.65
2007,5.04,3.35,0.70
2008,5.04,4.66,0.74
2009,5.00,4.80,0.63
2010,5.00,4.90,0.61
2011,5.07,5.02,0.60
2012,5.07,5.27,0.66
2013,5.07,5.45,0.67
2014,5.12,5.61,0.60
2015,4.10,5.35,0.63
2016,3.90,3.85,0.63
2017,3.89,3.69,0.68
2018,3.85,3.49,
