Year,Area harvested,Production,Per capita consumption (kg/yr)
1987,31730.00,37298.00,
1988,35960.00,47941.00,
1989,40630.00,31429.00,
1990,40780.00,41926.00,92.53
1991,50650.00,57907.00,83.71
1992,50720.00,62708.00,87.13
1993,37260.00,45136.00,88.52
1994,37660.00,51721.00,86.49
1995,37655.00,51903.00,92.55
1996,37884.00,45881.00,98.73
1997,37891.00,49222.00,97.05
1998,36654.00,45748.00,91.91
1999,37510.00,51817.00,99.68
2000,37242.00,48882.00,103.16
2001,40081.00,58493.00,103.77
2002,38121.00,68227.00,108.03
2003,38251.00,71254.00,107.02
2004,38370.00,77787.00,116.09
2005,38700.00,80293.00,118.80
2006,38871.00,82478.00,118.70
2007,38039.00,76766.00,126.26
2008,39840.00,101007.00,128.10
2009,37356.00,89377.00,121.51
2010,38183.00,98381.00,113.82
2011,39636.00,106048.00,116.46
2012,39664.00,111206.00,118.87
2013,41047.00,116713.00,115.63
2014,41106.00,117965.00,114.35
2015,41094.00,117240.00,111.62
2016,39746.00,111086.00,107.83
2017,40596.00,112585.00,118.25
2018,38497.00,104971.00,
