Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,23583.00,54167.94,9.70
1991,23773.00,46067.91,6.06
1992,23426.00,52025.58,8.97
1993,23361.00,58188.83,8.90
1994,23552.00,53227.59,8.60
1995,23350.00,58591.84,9.34
1996,23116.00,59162.92,8.50
1997,23354.00,70942.26,9.56
1998,22562.00,60125.82,8.73
1999,22538.00,44284.30,7.74
2000,23550.00,73411.70,8.48
2001,23560.00,73507.33,8.36
2002,16655.00,74155.31,8.76
2003,16655.00,72526.50,8.72
2004,16655.00,76338.82,8.58
2005,16655.00,79499.16,8.68
2006,16655.00,80162.65,8.59
2007,16655.00,81169.49,8.38
2008,16600.00,79259.28,8.46
2009,16600.00,75829.82,8.60
2010,16600.00,72403.21,8.31
2011,16600.00,56727.52,8.00
2012,16620.00,62449.17,8.21
2013,16620.00,67054.58,7.80
2014,14185.00,59152.37,7.35
2015,14185.00,68854.95,7.24
2016,14235.00,70257.95,6.67
2017,14185.00,72635.64,6.69
2018,14285.00,69380.00,
