Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,90.00,5289.99,1.29
1991,97.00,9467.51,1.35
1992,97.00,10477.85,1.36
1993,108.00,10402.15,1.37
1994,108.00,10749.71,1.38
1995,112.00,11933.38,1.46
1996,116.00,12678.08,1.51
1997,120.00,13214.51,1.44
1998,120.00,12628.95,1.33
1999,130.00,11553.59,1.40
2000,130.00,10631.24,1.46
2001,130.00,11685.36,1.49
2002,334.00,12428.91,1.46
2003,334.00,13167.39,1.50
2004,360.00,15362.92,1.48
2005,808.00,22867.64,1.59
2006,736.00,33426.76,1.66
2007,764.00,36402.57,1.70
2008,747.00,48792.06,1.87
2009,756.00,50556.86,1.80
2010,828.00,53216.80,1.66
2011,822.00,55568.16,1.54
2012,832.00,57403.74,1.58
2013,830.00,57060.49,1.54
2014,828.00,58445.16,1.58
2015,819.00,58044.99,1.58
2016,822.00,52598.48,1.46
2017,845.00,55723.21,1.48
2018,853.00,57867.38,
