Year,Area harvested,Production,Per capita consumption (kg/yr)
1987,48030.00,158962.00,
1988,56570.00,186565.00,
1989,52700.00,187465.00,
1990,40660.00,134067.00,92.53
1991,47900.00,152979.00,83.71
1992,52190.00,159461.00,87.13
1993,58970.00,160722.00,88.52
1994,49960.00,157922.00,86.49
1995,61020.00,199445.00,92.55
1996,93080.00,260999.00,98.73
1997,90230.00,250251.00,97.05
1998,66627.00,192211.00,91.91
1999,98686.00,266721.00,99.68
2000,88122.00,288106.00,103.16
2001,78455.00,257653.00,103.77
2002,78665.00,253858.00,108.03
2003,74611.00,242101.00,107.02
2004,82208.00,272209.00,116.09
2005,76218.00,273405.00,118.80
2006,74256.00,275330.00,118.70
2007,78804.00,291263.00,126.26
2008,84132.00,298748.00,128.10
2009,83454.00,300613.00,121.51
2010,78889.00,289223.00,113.82
2011,83721.00,310410.00,116.46
2012,84132.00,309941.00,118.87
2013,87414.00,329429.00,115.63
2014,87268.00,344892.00,114.35
2015,85668.00,337445.00,111.62
2016,79749.00,307464.00,107.83
2017,92216.00,358563.00,118.25
2018,90786.00,348806.00,
