Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,8.00,14.52,9.70
1991,12.00,17.43,6.06
1992,15.00,17.90,8.97
1993,16.00,17.81,8.90
1994,18.00,17.81,8.60
1995,18.00,17.91,9.34
1996,18.00,17.51,8.50
1997,9.01,17.29,9.56
1998,9.00,16.94,8.73
1999,9.00,15.10,7.74
2000,9.00,14.86,8.48
2001,10.00,16.55,8.36
2002,9.00,16.30,8.76
2003,9.00,16.09,8.72
2004,9.00,15.85,8.58
2005,9.00,15.64,8.68
2006,9.00,15.45,8.59
2007,9.00,15.51,8.38
2008,9.00,15.61,8.46
2009,9.00,15.51,8.60
2010,9.00,15.14,8.31
2011,9.00,15.38,8.00
2012,9.00,15.10,8.21
2013,9.00,15.16,7.80
2014,9.00,15.29,7.35
2015,9.00,15.01,7.24
2016,9.00,14.78,6.67
2017,9.00,15.06,6.69
2018,9.00,15.00,
