Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,6824.00,14960.99,9.90
1991,6953.00,14392.65,6.46
1992,7648.00,16012.64,9.54
1993,7925.00,16691.34,9.52
1994,7961.00,17240.75,9.20
1995,7961.00,17238.20,9.24
1996,7890.00,17988.83,8.84
1997,7890.00,15951.75,8.34
1998,7890.00,15744.24,7.17
1999,7870.00,15337.52,7.05
2000,7924.00,15518.72,6.85
2001,8196.00,15942.29,6.56
2002,7449.00,15451.67,6.48
2003,7401.00,15598.35,6.32
2004,7454.00,15854.92,6.17
2005,7489.00,19707.78,6.37
2006,7493.00,19888.00,6.16
2007,7543.00,20669.25,6.13
2008,7590.10,21484.48,5.99
2009,7590.00,22247.77,5.83
2010,7624.00,23176.30,5.50
2011,7710.00,23876.01,5.15
2012,7310.00,26575.72,5.07
2013,7170.00,28118.66,5.09
2014,6770.00,28955.92,4.93
2015,5716.00,28934.55,5.00
2016,5623.00,27605.25,4.86
2017,5623.00,27864.40,4.85
2018,5575.00,27771.85,
