Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,247.00,5958.99,1.81
1991,260.00,6500.00,1.86
1992,234.00,5747.07,1.87
1993,241.00,6027.93,1.67
1994,242.00,6056.83,1.59
1995,230.00,5673.93,1.58
1996,219.00,5070.14,1.57
1997,223.00,5164.31,1.55
1998,211.00,4814.87,1.35
1999,215.00,4903.43,1.36
2000,214.00,4848.91,1.27
2001,214.00,4841.39,1.34
2002,230.00,5479.15,3.25
2003,235.00,12755.77,3.18
2004,241.00,6093.85,3.04
2005,280.00,6387.63,2.94
2006,303.00,6688.34,2.73
2007,309.00,6896.16,2.69
2008,308.00,6735.20,2.57
2009,303.00,6632.00,2.50
2010,312.00,6667.00,2.42
2011,298.00,6149.00,2.17
2012,292.00,5947.00,2.12
2013,284.00,5870.00,2.09
2014,285.00,5650.80,2.05
2015,285.00,5555.22,1.97
2016,315.41,5850.50,1.91
2017,325.00,6110.50,1.81
2018,325.00,6243.00,
