Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,75005.00,260486.79,9.70
1991,74874.00,220623.27,6.06
1992,74305.00,235966.49,8.97
1993,72663.00,233530.94,8.90
1994,72628.00,232476.05,8.60
1995,69422.00,234046.58,9.34
1996,68936.00,233897.87,8.50
1997,70000.00,433809.24,9.56
1998,74405.00,370616.10,8.73
1999,74350.00,298898.44,7.74
2000,75942.00,237422.19,8.48
2001,75450.00,215050.42,8.36
2002,75450.00,286469.16,8.76
2003,75455.00,289445.88,8.72
2004,76398.00,292848.37,8.58
2005,77925.00,298822.66,8.68
2006,77925.00,298325.33,8.59
2007,77925.00,301090.55,8.38
2008,77925.00,308362.74,8.46
2009,80612.00,317854.51,8.60
2010,85610.00,327894.95,8.31
2011,85611.00,337690.13,8.00
2012,85611.00,345208.89,8.21
2013,85661.00,355708.97,7.80
2014,85661.00,366401.18,7.35
2015,85661.00,362524.55,7.24
2016,83750.00,269928.45,6.67
2017,84250.00,268711.65,6.69
2018,84250.00,269848.10,
