Year,Production,Per capita consumption (kg/yr)
2000,,3.03
2001,,3.04
2002,,3.19
2003,,3.28
2004,,3.21
2005,,3.23
2006,,3.35
2007,,3.50
2008,,3.51
2009,,3.49
2010,61018.00,3.85
2011,70545.00,3.80
2012,76756.00,3.56
2013,81664.00,3.73
2014,84786.00,4.23
2015,88201.00,4.33
2016,97815.00,4.50
2017,107570.00,4.78
2018,113228.00,
,,
,,
,,
,,
,,
,,
,,
,,
