Year,Area harvested,Production,Per capita consumption (kg/yr)
1987,213870,534167,
1988,208750,504763,
1989,190890,469288,
1990,150680,352413,92.53
1991,206010,500749,83.71
1992,203380,560220,87.13
1993,216840,708931,88.52
1994,208540,669467,86.49
1995,194350,553488,92.55
1996,220254,608926,98.73
1997,206558,551058,97.05
1998,140690,341192,91.91
1999,224666,601585,99.68
2000,217374,599293,103.16
2001,219196,635914,103.77
2002,239718,736123,108.03
2003,238382,729368,107.02
2004,254968,829027,116.09
2005,230086,670300,118.8
2006,257262,854646,118.7
2007,244115,823376,126.26
2008,285623,942286,128.1
2009,281910,944050,121.51
2010,203436,659970,113.82
2011,275877,959239,116.46
2012,289535,995402,118.87
2013,250791,822452,115.63
2014,264269,846636,114.35
2015,271954,877076,111.62
2016,236830,749699,107.83
2017,286550,937268.72,118.25
2018,292111,939331.95,
