Year,Area harvested,Production,Per capita consumption (kg/yr)
1987,3255900.00,8539852.00,
1988,3392670.00,8971030.00,
1989,3497280.00,9458772.00,
1990,3318720.00,9319276.00,92.53
1991,3424960.00,9673262.00,83.71
1992,3198070.00,9128940.00,87.13
1993,3282350.00,9434208.00,88.52
1994,3651530.00,10538054.00,86.49
1995,3758691.00,10540649.00,92.55
1996,3951136.00,11283568.00,98.73
1997,3842270.00,11268963.00,97.05
1998,3170042.00,8554824.00,91.91
1999,3999839.00,11786625.00,99.68
2000,4038085.00,12389412.00,103.16
2001,4065441.00,12954870.00,103.77
2002,4046318.00,13270653.00,108.03
2003,4006421.00,13499884.00,107.02
2004,4126645.00,14496784.00,116.09
2005,4070421.00,14603005.00,118.80
2006,4159930.00,15326706.00,118.70
2007,4272889.00,16240194.00,126.26
2008,4459977.00,16815548.00,128.10
2009,4532310.00,16266416.50,121.51
2010,4354161.00,15772319.00,113.82
2011,4536642.00,16684062.00,116.46
2012,4690061.17,18032525.47,118.87
2013,4746091.35,18439419.73,115.63
2014,4739672.16,18967826.17,114.35
2015,4656227.14,18149837.78,111.62
2016,4556042.79,17627244.82,107.83
2017,4811807.77,19276346.63,118.25
2018,4800406.09,19066093.94,
