Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,228.00,1962.50,9.90
1991,226.00,1942.20,6.46
1992,198.00,1692.80,9.54
1993,202.00,1730.96,9.52
1994,190.00,1593.88,9.20
1995,122.00,968.60,9.24
1996,132.00,1065.46,8.84
1997,116.00,1059.45,8.34
1998,110.00,831.15,7.17
1999,111.00,834.43,7.05
2000,111.00,810.29,6.85
2001,108.00,809.26,6.56
2002,104.00,743.12,6.48
2003,101.00,719.77,6.32
2004,101.00,705.37,6.17
2005,111.00,762.12,6.37
2006,102.00,669.40,6.16
2007,97.00,642.06,6.13
2008,86.00,599.23,5.99
2009,88.00,626.64,5.83
2010,92.00,642.74,5.50
2011,93.00,679.53,5.15
2012,81.00,585.06,5.07
2013,81.50,582.55,5.09
2014,85.25,619.51,4.93
2015,82.40,589.15,5.00
2016,69.00,480.65,4.86
2017,71.50,501.24,4.85
2018,69.50,489.73,
