Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,18.00,214.20,1.81
1991,61.00,732.00,1.86
1992,61.00,732.00,1.87
1993,61.00,732.00,1.67
1994,165.00,1980.00,1.59
1995,290.00,3480.00,1.58
1996,185.00,2220.00,1.57
1997,185.00,2220.00,1.55
1998,147.00,1764.57,1.35
1999,111.00,858.61,1.36
2000,110.00,771.20,1.27
2001,115.00,846.23,1.34
2002,115.00,871.36,3.25
2003,195.00,2329.93,3.18
2004,365.00,4519.00,3.04
2005,386.00,5880.00,2.94
2006,402.00,6241.00,2.73
2007,440.00,6823.00,2.69
2008,515.00,8550.00,2.57
2009,530.00,10150.00,2.50
2010,515.00,9950.00,2.42
2011,553.00,10758.00,2.17
2012,555.00,10750.00,2.12
2013,574.00,10773.00,2.09
2014,586.00,11055.00,2.05
2015,547.00,10910.00,1.97
2016,559.80,11094.00,1.91
2017,576.00,11405.00,1.81
2018,587.40,11617.00,
