Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,13.00,78.79,1.81
1991,9.00,50.10,1.86
1992,9.00,51.68,1.87
1993,9.30,53.89,1.67
1994,9.00,55.51,1.59
1995,9.00,56.28,1.58
1996,9.00,58.54,1.57
1997,5.00,25.27,1.55
1998,6.00,25.30,1.35
1999,6.00,25.82,1.36
2000,6.00,26.76,1.27
2001,6.00,31.76,1.34
2002,6.00,32.11,3.25
2003,6.00,74.53,3.18
2004,7.00,79.79,3.04
2005,9.00,107.35,2.94
2006,9.15,109.50,2.73
2007,9.15,139.45,2.69
2008,9.15,196.47,2.57
2009,9.00,202.73,2.50
2010,9.00,210.03,2.42
2011,9.03,215.84,2.17
2012,15.03,222.17,2.12
2013,15.00,231.47,2.09
2014,15.18,237.72,2.05
2015,14.36,239.25,1.97
2016,14.18,228.95,1.91
2017,14.35,233.50,1.81
2018,14.44,236.90,
