Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,24246.00,109743.82,9.70
1991,24018.00,109784.42,6.06
1992,24864.00,122374.84,8.97
1993,24821.00,134364.29,8.90
1994,24949.00,159288.47,8.60
1995,25000.00,160864.46,9.34
1996,25127.00,156120.59,8.50
1997,24514.00,169106.44,9.56
1998,24102.00,165076.45,8.73
1999,24100.00,126872.59,7.74
2000,26695.00,135785.50,8.48
2001,27229.00,135724.05,8.36
2002,27200.00,139104.98,8.76
2003,27200.00,139107.70,8.72
2004,31120.00,151833.65,8.58
2005,32000.00,151993.68,8.68
2006,33000.00,154022.74,8.59
2007,37000.00,171388.38,8.38
2008,38650.00,181256.10,8.46
2009,56200.00,216079.48,8.60
2010,58500.00,240081.79,8.31
2011,69450.00,289262.20,8.00
2012,76200.00,309967.97,8.21
2013,76800.00,357882.03,7.80
2014,81200.00,397579.62,7.35
2015,81500.00,413628.88,7.24
2016,88200.00,385793.29,6.67
2017,90500.00,399086.04,6.69
2018,94200.00,408690.56,
