Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,2203.00,952.57,0.71
1991,1925.00,955.11,0.57
1992,1696.00,998.38,0.58
1993,1781.00,894.58,0.46
1994,1640.00,920.04,0.64
1995,2035.00,1270.65,0.74
1996,2296.00,1282.06,0.78
1997,2432.00,805.30,0.76
1998,2123.00,504.04,0.72
1999,1669.00,439.58,0.93
2000,1386.00,370.19,0.83
2001,1349.00,359.61,0.88
2002,1268.00,326.93,0.81
2003,1320.00,359.95,0.82
2004,1425.00,650.00,0.78
2005,1623.00,797.71,0.67
2006,1754.00,923.78,0.65
2007,2215.00,1202.40,0.70
2008,1980.00,1019.91,0.74
2009,1940.00,941.50,0.63
2010,1835.00,805.03,0.61
2011,1926.00,911.00,0.60
2012,2060.00,973.62,0.66
2013,2070.00,981.50,0.67
2014,2183.00,1238.50,0.60
2015,2700.00,1383.00,0.63
2016,2170.00,1184.00,0.63
2017,2250.00,1392.00,0.68
2018,2360.00,1485.00,
