YEAR,PGR
2016,1.87
2017,1.87
2018,1.87
2019,1.87
2020,1.87
2021,1.62
2022,1.62
2023,1.62
2024,1.62
2025,1.62
2026,1.38
2027,1.38
2028,1.38
2029,1.38
2030,1.38
2031,1.15
2032,1.15
2033,1.15
2034,1.15
2035,1.15
2036,0.93
2037,0.93
2038,0.93
2039,0.93
2040,0.93
