YEAR,YIELD
1990,7.1775225225225
1991,8.0341818181818
1992,8.5644796380091
1993,7.3577777777778
1994,7.5962393162393
1995,7.3031627906977
1996,7.6040825688073
1997,7.6404109589041
1998,6.0918396226415
1999,7.5743891402715
2000,7.5762331838565
2001,7.4388938053097
2002,7.3189686098655
2003,7.2960173160173
2004,7.4456846473029
2005,7.5186290322581
2006,7.2748496240601
2007,7.06
2008,7.1516929133858
2009,6.9017667844523
2010,6.923801369863
2011,6.9684294871795
2012,7.1760200668896
2013,6.6983850931677
2014,6.3372434017595
2015,6.3348973607038
2016,6.7111884057971
2017,7.436936416185
2018,7.6086705202312
