YEAR,AREA
1990,36593
1991,34244
1992,32669
1993,33032
1994,33927.85
1995,34781
1996,35342
1997,36266.71
1998,37683
1999,39281
2000,39661
2001,37127
2002,36509.84
2003,35618.03
2004,36299.56
2005,36115.09
2006,35731.96
2007,39011.28
2008,39922.99
2009,38657.52
2010,40079.87
2011,45282.51
2012,44350.98
2013,43588.93
2014,42978.43
2015,41450.49
2016,41349.37
2017,41933.06
2018,41581.12
