YEAR,AREA
1990,91
1991,87
1992,84
1993,84
1994,80
1995,50
1996,50
1997,50
1998,41
1999,41
2000,39
2001,39
2002,40
2003,38
2004,39
2005,39
2006,43
2007,42
2008,34
2009,38
2010,36
2011,36
2012,34
2013,37
2014,40
2015,39.5
2016,42
2017,47
2018,50
