YEAR,AREA
1990,3111978
1991,3093262
1992,3075025
1993,3076238
1994,3082727.25
1995,3094504.47
1996,3149037
1997,3134417.01
1998,3115829
1999,3137881
2000,3143909
2001,3148651
2002,3181670
2003,3216528
2004,3258576
2005,3243278
2006,3337378
2007,3359776.5
2008,3379740.9
2009,3401499.73
2010,3575944.47
2011,3561981.11
2012,3574613.61
2013,3551298.83
2014,3502011.47
2015,3517742.85
2016,3565059.37
2017,3612304.29
2018,3628134.38
