YEAR,PRODUCTION
2002,44
2003,38
2004,35
2005,89.45
2006,129
2007,223.13
2008,236.48
2009,191.13
2010,257.41
2011,238.96
2012,242.9
2013,241.32
2014,245.85
2015,246.91
2016,242.05
2017,235.61
2018,160.91
