YEAR,YIELD
1990,58.777666666667
1991,97.603195876289
1992,108.01907216495
1993,96.316203703704
1994,99.534351851852
1995,106.54803571429
1996,109.29379310345
1997,110.12091666667
1998,105.24125
1999,88.873769230769
2000,81.778769230769
2001,89.887384615385
2002,37.212305389222
2003,39.423323353293
2004,42.674777777778
2005,28.301534653465
2006,45.416793478261
2007,47.647342931937
2008,65.31734939759
2009,66.874153439153
2010,64.271497584541
2011,67.601167883212
2012,68.994879807692
2013,68.747578313253
2014,70.585942028986
2015,70.873003663004
2016,63.988418491484
2017,65.944627218935
2018,67.839835873388
