YEAR,AREA
1990,24246
1991,24018
1992,24864
1993,24821
1994,24949
1995,25000
1996,25127
1997,24514
1998,24102
1999,24100
2000,26695
2001,27229
2002,27200
2003,27200
2004,31120
2005,32000
2006,33000
2007,37000
2008,38650
2009,56200
2010,58500
2011,69450
2012,76200
2013,76800
2014,81200
2015,81500
2016,88200
2017,90500
2018,94200
