YEAR,AREA
1990,136717
1991,136376
1992,140663
1993,146553
1994,146111
1995,145236
1996,141006
1997,141701
1998,130387
1999,132349
2000,127682
2001,124637
2002,122487
2003,122238.62
2004,120531.06
2005,120638.44
2006,118829.09
2007,117583.77
2008,116464.71
2009,114380.31
2010,109438.36
2011,103704.42
2012,101086.58
2013,94844.05
2014,88968.37
2015,85842.52
2016,84751.58
2017,84973.58
2018,84045.05
