YEAR,YIELD
1990,4.0904
1991,3.9616666666667
1992,4.0563333333333
1993,3.8060130718954
1994,3.479477124183
1995,3.6290196078431
1996,3.3309655172414
1997,4.1038848920863
1998,3.3556834532374
1999,2.6248571428571
2000,2.5538571428571
2001,2.5498601398601
2002,2.5471724137931
2003,2.5533559322034
2004,2.5840397350993
2005,2.6075163398693
2006,2.6590228013029
2007,3.032064516129
2008,3.193935483871
2009,3.2915384615385
2010,3.3798717948718
2011,3.390375
2012,3.5929032258065
2013,3.7836129032258
2014,3.8623566878981
2015,3.8077707006369
2016,3.3075796178344
2017,3.3785350318471
2018,3.4307692307692
