YEAR,AREA
1987,213870
1988,208750
1989,190890
1990,150680
1991,206010
1992,203380
1993,216840
1994,208540
1995,194350
1996,220254
1997,206558
1998,140690
1999,224666
2000,217374
2001,219196
2002,239718
2003,238382
2004,254968
2005,230086
2006,257262
2007,244115
2008,285623
2009,281910
2010,203436
2011,275877
2012,289535
2013,250791
2014,264269
2015,271954
2016,236830
2017,286550
2018,292111
