YEAR,PRODUCTION
2002,152985.6
2003,168204.86
2004,177790.24
2005,195510.2
2006,241774.82
2007,278819.27
2008,299812.51
2009,304373.98
2010,303735.49
2011,303169.77
2012,307974.94
2013,317756.5
2014,313378.3
2015,311684.17
2016,300722.5
2017,310974.8
2018,321076.58
