YEAR,YIELD
1990,5.816
1991,5.9
1992,6
1993,6.1319230769231
1994,6.16
1995,6.165
1996,6.1979245283019
1997,6.1981132075472
1998,6.202962962963
1999,6.202962962963
2000,6.205
2001,6.4258695652174
2002,6.7047826086957
2003,6.6767391304348
2004,6.6623913043478
2005,6.6363043478261
2006,6.5926086956522
2007,6.7010869565217
2008,6.7828260869565
2009,6.7982608695652
2010,6.6295652173913
2011,6.4448888888889
2012,6.05
2013,6.1271111111111
2014,6.2637777777778
2015,5.9613333333333
2016,5.7197777777778
2017,5.7275
2018,5.5918181818182
